rsv_a	260509-Other_fs-NAS-P3	0
rsv_a	260605-BC-NAS-P1	0
rsv_b	250205-BoDT-NAS	0
rsv_b	250919-Copl-NAS	0
rsv_b	251008-MBTA_Ha-NAS	0
rsv_b	251022-Copl-NAS-P2	0
rsv_b	251110-MBTA_Ha-NAS-P1	0
rsv_b	251213-BoDT-NAS-P1	0
rsv_b	260108-Copl-NAS-P2	0
rsv_b	260122-Copl-NAS-P2	0
rsv_b	260509-Other_fs-NAS-P3	0
rsv_b	260605-BC-NAS-P1	0
sars_cov_2	250205-BoDT-NAS	0
sars_cov_2	250919-Copl-NAS	2219
sars_cov_2	251008-MBTA_Ha-NAS	0
sars_cov_2	251022-Copl-NAS-P2	0
sars_cov_2	251110-MBTA_Ha-NAS-P1	0
sars_cov_2	251213-BoDT-NAS-P1	0
sars_cov_2	260108-Copl-NAS-P2	13
sars_cov_2	260122-Copl-NAS-P2	0
sars_cov_2	260509-Other_fs-NAS-P3	0
sars_cov_2	260605-BC-NAS-P1	0
